@RELATION training

@ATTRIBUTE currentTimeSlot NUMERIC
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE hourAhead NUMERIC
@ATTRIBUTE date NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE NUMBER_OF_BROKERS NUMERIC
@ATTRIBUTE NUMBER_OF_PRODUCERS NUMERIC
@ATTRIBUTE PrevDayHAMarketClearingPrice NUMERIC
@ATTRIBUTE PrevHAMarketClearingPrice NUMERIC
@ATTRIBUTE CloudCoverage NUMERIC
@ATTRIBUTE Temperature NUMERIC
@ATTRIBUTE WSpeed NUMERIC
@ATTRIBUTE WDirection NUMERIC
@ATTRIBUTE MarketClearingPrice NUMERIC

@DATA
46,22,22,36841,10,2016,4,1,43.96739922954484,15.02923333708428,0.954,9.4,328.0,1.27,43.96739922954484
46,22,21,36842,10,2016,4,1,44.43729882578705,43.96739922954484,0.932,10.7,297.0,5.4,44.43729882578705
46,22,20,36843,10,2016,4,1,44.515829761441964,44.43729882578705,0.901,9.9,300.0,4.98,44.515829761441964
46,22,19,36844,10,2016,4,1,47.06433569356069,44.515829761441964,0.901,9.9,300.0,4.81,47.06433569356069
46,22,18,36845,10,2016,4,1,47.03397738912161,47.06433569356069,0.911,9.9,300.0,4.96,47.03397738912161
46,22,17,36846,10,2016,4,1,46.9243233761355,47.03397738912161,0.92,10.4,306.0,5.42,46.9243233761355
46,22,16,36847,10,2016,4,1,47.09206373233696,46.9243233761355,0.916,10.6,309.0,4.95,47.09206373233696
46,22,15,36848,10,2016,4,1,47.36260853132461,47.09206373233696,0.878,10.4,302.0,4.84,47.36260853132461
46,22,14,36849,10,2016,4,1,47.56446284927851,47.36260853132461,0.879,11.0,303.0,4.69,47.56446284927851
46,22,5,36858,10,2016,4,1,47.567101370766416,0.0,0.997,13.1,306.0,3.64,47.567101370766416
46,22,4,36859,10,2016,4,1,47.76015880488899,47.567101370766416,0.946,13.5,304.0,3.17,47.76015880488899
46,22,3,36860,10,2016,4,1,47.90299983724586,47.76015880488899,0.903,12.4,310.0,2.37,47.90299983724586
46,22,2,36861,10,2016,4,1,47.951891448535044,47.90299983724586,0.936,12.6,308.0,1.96,47.951891448535044
46,22,1,36862,10,2016,4,1,47.95541520368162,47.951891448535044,0.918,12.3,314.0,1.55,47.95541520368162
46,22,0,36863,10,2016,4,1,48.00512017539144,47.95541520368162,1.0,11.6,315.0,1.48,48.00512017539144
47,23,23,36864,10,2016,4,1,14.691938435558066,0.0,0.964,9.7,296.0,1.37,14.691938435558066
47,23,22,36865,10,2016,4,1,47.362768768451076,14.691938435558066,0.931,11.0,264.0,5.37,47.362768768451076
47,23,21,36866,10,2016,4,1,47.10934737512493,47.362768768451076,0.932,10.7,267.0,5.4,47.10934737512493
47,23,20,36867,10,2016,4,1,48.153446172615716,47.10934737512493,0.901,9.9,270.0,4.98,48.153446172615716
47,23,19,36868,10,2016,4,1,48.03533696688805,48.153446172615716,0.901,9.9,270.0,4.81,48.03533696688805
47,23,18,36869,10,2016,4,1,46.94931153480053,48.03533696688805,0.911,9.9,270.0,4.96,48.14189103661716
47,23,17,36870,10,2016,4,1,48.11752836235217,48.14189103661716,0.92,10.4,276.0,5.42,48.11752836235217
